Car Count,Vehicle ID,Name,Model,Year,Stock Number,Mileage,Fuel Type,MPG City,MPG Highway,Vehicle Type,Price
98,5J8TC2H60KL022513,Acura,Acura RDX,2019,8DTWFN,63227,Gasoline,21,26,Sport Utility,"31,999"
99,5TDGZRBH7MS525619,Toyota,Toyota Highlander,2021,8CKF8H,74150,Gasoline,20,27,Sport Utility,"32,499"
100,JN8AZ2NFXL9703435,Infiniti,Infiniti QX80,2020,8CJGBD,70656,Gasoline,14,20,Sport Utility,"32,799"
101,1GCRYDED4KZ397844,Chevrolet,Chevrolet Silverado 1500,2019,8F6V88,65806,Gasoline,16,22,Truck,"32,999"
102,1C6SRFBT0MN791929,RAM,RAM 1500,2021,8DYHNL,31452,Gasoline,19,24,Truck,"34,999"
103,JN8AY2BB7M9792452,Nissan,Nissan Armada,2021,7VHFNT,73679,Gasoline,13,18,Sport Utility,"34,999"
104,1FMJU2AT2KEA81260,Ford,Ford Expedition,2019,8C7HM3,70797,Gasoline,17,22,Sport Utility,"42,999"
105,1GNSKCKD7MR273062,Chevrolet,Chevrolet Suburban,2021,7V5XJT,75732,Gasoline,15,19,Sport Utility,"47,999"
106,1GNSKNKD8MR247825,Chevrolet,Chevrolet Tahoe,2021,7VVFB3,78764,Gasoline,16,20,Sport Utility,"49,499"
107,3N1CN7AP6KL869584,Nissan,Nissan Versa Sedan,2019,7SJ3JG,61226,Gasoline,31,39,Sedan,"12,999"
108,3N1CN8EV5ML840191,Nissan,Nissan Versa,2021,7VRXMQ,61480,Gasoline,32,40,Sedan,"15,999"
109,3N1CN8EVXML844513,Nissan,Nissan Versa,2021,7VVKFX,61892,Gasoline,32,40,Sedan,"15,999"
110,3N1CN8EV0ML828840,Nissan,Nissan Versa,2021,7VBLY2,65956,Gasoline,32,40,Sedan,"16,499"
111,3N1CP5CV3ML465882,Nissan,Nissan Kicks,2021,8C478N,61028,Gasoline,31,36,Crossover,"17,999"
112,MAJ6S3KL1MC400673,Ford,Ford Ecosport,2021,7VXX6D,59243,Gasoline,23,29,Crossover,"19,499"
113,5YFEPMAE2MP184372,Toyota,Toyota Corolla,2021,7V2H42,61582,Gasoline,30,38,Sedan,"19,499"
114,1G1ZD5ST2MF028961,Chevrolet,Chevrolet Malibu,2021,7TJY28,62679,Gasoline,29,36,Sedan,"19,499"
115,JA4AR3AU8LU024941,Mitsubishi,Mitsubishi Outlander Sport,2020,7THHP3,66402,Gasoline,23,29,Crossover,"19,499"
116,1G1ZD5ST0MF076426,Chevrolet,Chevrolet Malibu,2021,7VNQTN,60855,Gasoline,29,36,Sedan,"19,999"
117,1N4BL4BV0MN308526,Nissan,Nissan Altima,2021,7T2FT4,61071,Gasoline,28,39,Sedan,"19,999"
118,1N4BL4DV5MN329725,Nissan,Nissan Altima,2021,7VH62X,62582,Gasoline,27,37,Sedan,"19,999"
119,1G1ZD5STXMF060797,Chevrolet,Chevrolet Malibu,2021,7VKPY5,63497,Gasoline,29,36,Sedan,"19,999"
120,1G1ZD5ST4MF028198,Chevrolet,Chevrolet Malibu,2021,7TJF55,63949,Gasoline,29,36,Sedan,"19,999"
121,1N4BL4DV7MN307189,Nissan,Nissan Altima,2021,7TGM85,65178,Gasoline,27,37,Sedan,"19,999"
122,JN1BJ1AW9MW421512,Nissan,Nissan Rogue Sport,2021,7V40Y0,67456,Gasoline,24,30,Crossover,"19,999"
123,1VWSA7A31MC002624,Volkswagen,Volkswagen Passat,2021,7V579Q,63673,Gasoline,24,36,Sedan,"20,499"
124,1G1ZD5ST5MF030994,Chevrolet,Chevrolet Malibu,2021,7T7DJ4,65352,Gasoline,29,36,Sedan,"20,499"
125,2GNAXUEV0M6147354,Chevrolet,Chevrolet Equinox,2021,7VWSB0,74095,Gasoline,25,30,Crossover,"20,499"
126,3MVDMBCLXLM119648,Mazda,Mazda Mazda CX-30,2020,7TL32L,62064,Gasoline,24,31,Crossover,"20,999"
127,5XXG14J2XMG019730,Kia,Kia K5,2021,7T3WGT,64884,Gasoline,27,37,Sedan,"20,999"
128,3C4NJDCB6LT221245,Jeep,Jeep Compass,2020,7TPNJ2,69025,Gasoline,22,30,Crossover,"21,499"
129,1N4BL4EV9LC157059,Nissan,Nissan Altima,2020,7VBNPG,70298,Gasoline,28,39,Sedan,"21,499"
130,1G1ZD5ST5MF007165,Chevrolet,Chevrolet Malibu,2021,7TKNKX,69226,Gasoline,29,36,Sedan,"21,799"
131,JN1BJ0RR5HM413871,Infiniti,Infiniti QX50,2017,8FCH54,61045,Gasoline,17,24,Sport Utility,"21,999"
132,3C4NJDDB3MT529246,Jeep,Jeep Compass,2021,7TF9WH,63248,Gasoline,22,30,Crossover,"22,499"
133,1N4AA6CV6MC503733,Nissan,Nissan Maxima,2021,7VWCM3,62106,Gasoline,20,30,Sedan,"22,999"
134,ZACNJBC13KPK13117,Jeep,Jeep Renegade,2019,8DW047,60482,Gasoline,22,27,Crossover,"23,499"
135,5N1AZ2BS3MC127250,Nissan,Nissan Murano,2021,7VFRVW,69422,Gasoline,20,28,Sport Utility,"23,499"
136,2C3CDXBG0MH541852,Dodge,Dodge Charger,2021,7VNJGT,63966,Gasoline,19,30,Sedan,"23,799"
137,3C4NJDDB9MT523662,Jeep,Jeep Compass,2021,7TF8TD,60804,Gasoline,22,30,Crossover,"23,999"
138,3GKALVEV0ML339870,GMC,GMC Terrain,2021,7V50TL,62564,Gasoline,25,28,Crossover,"23,999"
139,3GKALVEV4ML336776,GMC,GMC Terrain,2021,7V694X,64894,Gasoline,25,28,Crossover,"23,999"
140,3GKALVEVXML308903,GMC,GMC Terrain,2021,7T2FC8,69412,Gasoline,25,28,Crossover,"23,999"
141,2T3W1RFV7MW111760,Toyota,Toyota RAV4,2021,7T6L9D,64135,Gasoline,28,35,Crossover,"24,999"
142,JM3KFBDM7M0323605,Mazda,Mazda Mazda CX-5,2021,7T5P4H,64282,Gasoline,24,30,Crossover,"24,999"
143,JM3KFBDM9M1344112,Mazda,Mazda Mazda CX-5,2021,7T3T0T,67965,Gasoline,24,30,Crossover,"24,999"
144,1C4PJMBX7LD654925,Jeep,Jeep Cherokee,2020,7TX8Y6,67084,Gasoline,18,24,Crossover,"25,449"
145,2C4RC1BG4MR519885,Chrysler,Chrysler Pacifica,2021,7VQSHD,69790,Gasoline,19,28,Van / Minivan,"26,999"
146,JM3TCBDYXM0512491,Mazda,Mazda Mazda CX-9,2021,7T9G5N,64153,Gasoline,20,26,Crossover,"29,999"
147,1GCWGBFPXM1207811,Chevrolet,Chevrolet Express Cargo Van,2021,7V2VHD,74383,Gasoline,0,0,Cargo Van,"31,999"
148,1C6SRFCT7LN199523,RAM,RAM 1500,2020,8F895W,38590,Hybrid,19,24,Truck,"32,499"
149,JN8AY2BB9M9793313,Nissan,Nissan Armada,2021,8C7KG5,71619,Gasoline,13,18,Sport Utility,"34,499"
150,1GCUYDED4LZ296010,Chevrolet,Chevrolet Silverado 1500,2020,7VW5TC,69260,Gasoline,16,22,Truck,"34,999"
151,1FTBR3X85NKA74828,Ford,Ford Transit Cargo Van,2022,7VT1M7,62270,Gasoline,0,0,Cargo Van,"44,999"
152,3N1AB7AP3KY360975,Nissan,Nissan Sentra,2019,8D6L5J,66595,Gasoline,29,37,Sedan,"14,999"
153,3KPC24A67LE109519,Hyundai,Hyundai Accent,2020,7TCLFP,65631,Gasoline,33,41,Sedan,"15,999"
154,5NPD84LF1KH427937,Hyundai,Hyundai Elantra,2019,8D5M6H,54451,Gasoline,28,37,Sedan,"16,499"
155,5NPD84LF6LH631800,Hyundai,Hyundai Elantra,2020,7TL567,63213,Gasoline,30,40,Sedan,"16,499"
156,5NPD84LF1LH615665,Hyundai,Hyundai Elantra,2020,7TQLP0,64759,Gasoline,30,40,Sedan,"16,499"
157,3KPA24AD4ME364586,Kia,Kia Rio,2021,7V50TJ,60207,Gasoline,33,41,Sedan,"16,999"
158,KM8K1CAA3LU461975,Hyundai,Hyundai Kona,2020,7TCJNH,62964,Gasoline,26,30,Crossover,"16,999"
159,KNDJ23AU7M7751031,Kia,Kia Soul,2021,7T6SJK,66693,Gasoline,29,35,Hatchback,"16,999"
160,KMHRB8A3XMU067224,Hyundai,Hyundai Venue,2021,7T3YDM,68538,Gasoline,30,33,Crossover,"16,999"
